Operatør,Navn,Adresse,Postnr,By,Effekt_kW,Stik,Antal_ladere,Latitude,Longitude
Allego,Allego Taastrup,"Helgeshøj Alle 32, 2630 Taastrup",2630,Taastrup,300,CCS,6,55.660881,12.285276
Allego,Allego Helsingor,"Klostermosevej 103, 3000 Helsingør",3000,Helsingør,300,CCS,4,56.023625,12.571935
Allego,Allego Slagelse,"Idagårdsvej 4, 4200 Slagelse",4200,Slagelse,300,CCS,6,55.391938,11.352422
Allego,Allego Vordingborg,"Højgaardsvej 2, 4760 Vordingborg",4760,Vordingborg,400,CCS,6,54.997733,12.002979
Allego,Allego Norre Alslev,"Baltivej 10, 4840 Nørre Alslev",4840,Nørre Alslev,300,CCS,6,54.898954,11.91799
Allego,Allego Maribo,"Europavej 7a, 4930 Maribo",4930,Maribo,300,CCS,8,54.779069,11.477722
Allego,Allego Odense,"Drejebænken 3, 5260 Odense",5260,Odense,300,CCS,6,55.354133,10.420619
Allego,Allego Aarup,"Gamle Hovedvej 25, 5560 Aarup",5560,Aarup,300,CCS,6,55.413935,10.05588
Allego,Allego Fredericia,"Adelvej 59A, 7000 Fredericia",7000,Fredericia,300,CCS,4,55.537181,9.623944
Allego,Allego Vejle,"Solkilde Alle 11A, 7100 Vejle",7100,Vejle,400,CCS,10,55.724862,9.583896
Allego,Allego Tilst,"Blomstervej 2R, 8381 Tilst",8381,Tilst,300,CCS,4,56.181618,10.124722
Allego,Allego Galten,"Erhvervsparken Klank 2B, 8464 Galten",8464,Galten,400,CCS,11,56.146673,9.919211
Allego,Allego Horsens,"Langmarksvej 41, 8700 Horsens",8700,Horsens,300,CCS,4,55.87131,9.85256
Allego,Allego Frederikshavn,"Apholmenvej 3, 9900 Frederikshavn",9900,Frederikshavn,300,CCS,4,57.461531,10.520991
AmpGo,AmpGo - Monta - Skagensvej 23,"Skagensvej 23, 9982 Ålbæk",9982,Ålbæk,300,CCS,4,57.592474,10.412625
Better Energy,Better Energy Jyllandsgade Sønderborg,"Jyllandsgade 26, 6400 Sønderborg",6400,Sønderborg,360,CCS,4,54.919509,9.817816
Circle K,Circle K Godthåbsvej,"Godthåbsvej 144, 2000 Frederiksberg",2000,Frederiksberg,400,CCS,2,55.690003,12.519068
Circle K,Circle K Englandsvej,"Englandsvej 218, 2300 København S",2300,København S,400,CCS,10,55.639278,12.599055
Circle K,Circle K Vermlandsgade,"Vermlandsgade 41, 2300 København S",2300,København S,400,CCS,10,55.668628,12.605771
Circle K,Circle K Frederiksborgvej KBH NV,"Frederiksborgvej 53, 2400 København NV",2400,København NV,400,CCS,10,55.70593,12.531882
Circle K,Circle K Borgmester Christiansens Gade,"Borgmester Christiansens Gade 59, 2450 København SV",2450,København SV,400,CCS,18,55.647175,12.54165
Circle K,Circle K Sydhavns Plads,"Sydhavns Plads 10, 2450 København SV",2450,København SV,400,CCS,8,55.653588,12.540392
Circle K,"Circle K Roskildevej, Valby","Roskildevej 176, 2500 Valby",2500,Valby,400,CCS,4,55.672952,12.483256
Circle K,"Circle K Park Allé, Brøndby","Park Alle 240, 2605 Brøndby",2605,Brøndby,400,CCS,10,55.654428,12.405238
Circle K,Circle K Jyllingevej,"Jyllingevej 166, 2610 Rødovre",2610,Rødovre,300,CCS,6,55.692754,12.462552
Circle K,Circle K Kuldyssen,"Kuldyssen 2, 2630 Taastrup",2630,Taastrup,400,CCS,6,55.647029,12.288385
Circle K,Circle K Taastrup,"Taastrup Hovedgade 25, 2630 Taastrup",2630,Taastrup,400,CCS,6,55.65606,12.307527
Circle K,Circle K Landlystvænge,"Landlyst Vænge 1, 2635 Ishøj",2635,Ishøj,400,CCS,8,55.61657,12.351699
Circle K,Circle K Kettevej,"Kettevej 2, 2650 Hvidovre",2650,Hvidovre,400,CCS,10,55.64567,12.460125
Circle K,Circle K Stationsholmen,"Stationsholmen 1, 2670 Greve",2670,Greve,400,CCS,8,55.582501,12.297401
Circle K,Circle K Herlev Hovedgade,"Herlev Hovedgade 56, 2730 Herlev",2730,Herlev,400,CCS,6,55.720242,12.449674
Circle K,Circle K Ballerup Byvej,"Ballerup Byvej 115, 2750 Ballerup",2750,Ballerup,400,CCS,10,55.731261,12.374934
Circle K,Circle K Måløv,"Måløv Hovedgade 3, 2760 Måløv",2760,Måløv,300,CCS,6,55.746751,12.323446
Circle K,Circle K Amager Landevej,"Amager Landevej 153, 2770 Kastrup",2770,Kastrup,400,CCS,10,55.627131,12.62439
Circle K,Circle K Dragør,"Møllevej 10, 2791 Dragør",2791,Dragør,400,CCS,6,55.591942,12.634166
Circle K,Circle K Lyngbygårdsvej,"Lyngbygårdsvej 138, 2800 Kongens Lyngby",2800,Kongens Lyngby,400,CCS,8,55.77509,12.521066
Circle K,Circle K Kildegårds Plads,"Kildegårds Plads 4, 2820 Gentofte",2820,Gentofte,400,CCS,4,55.738019,12.540247
Circle K,Circle K Nybrovej,"Nybrovej 45, 2820 Gentofte",2820,Gentofte,300,CCS,4,55.755003,12.5129
Circle K,"Circle K Kongevejen, Virum","Kongevejen 205, 2830 Virum",2830,Virum,300,CCS,4,55.797243,12.480903
Circle K,Circle K Gladsaxe Møllevej,"Gladsaxe Møllevej 12, 2860 Søborg",2860,Søborg,400,CCS,10,55.733862,12.476697
Circle K,"Circle K Bernstorffsvej, Hellerup","Bernstorffsvej 115, 2900 Hellerup",2900,Hellerup,300,CCS,2,55.745195,12.556543
Circle K,Circle K Rungsted,"Rungsted Strandvej 125, 2960 Rungsted Kyst",2960,Rungsted Kyst,300,CCS,4,55.88508,12.543187
Circle K,Circle K Usserød Kongevej,"Usserød Kongevej 23, 2970 Hørsholm",2970,Hørsholm,400,CCS,6,55.883219,12.497607
Circle K,Circle K Nivå,"Niverød Kongevej 10, 2990 Nivå",2990,Nivå,400,CCS,6,55.937622,12.487265
Circle K,Circle K Helsingør,"Kongevejen 26, 3000 Helsingør",3000,Helsingør,400,CCS,4,56.030332,12.601339
Circle K,Circle K Humlebæk,"Baunebjergvej 1, 3050 Humlebæk",3050,Humlebæk,400,CCS,4,55.964828,12.521217
Circle K,Circle K Espergærde,"Hovvej 54, 3060 Espergærde",3060,Espergærde,300,CCS,4,55.990066,12.534098
Circle K,Circle K Helsinge,"Rundinsvej 52, 3200 Helsinge",3200,Helsinge,300,CCS,4,56.016298,12.198076
Circle K,Circle K Gilleleje,"Bonderupvej 2a, 3250 Gilleleje",3250,Gilleleje,400,CCS,4,56.12167,12.31323
Circle K,Circle K Kregme,"Hillerødvej 103a, Kregme, 3300 Frederiksværk",3300,Frederiksværk,400,CCS,6,55.946965,12.04781
Circle K,Circle K Allerød,"Gl Lyngevej 12, 3450 Lillerød",3450,Lillerød,300,CCS,4,55.869079,12.346776
Circle K,Circle K Birkerød,"Bistrupvej 80, 3460 Birkerød",3460,Birkerød,400,CCS,6,55.831962,12.429467
Circle K,Circle K Fredensborg,"Kongevejen 42, 3480 Fredensborg",3480,Fredensborg,300,CCS,4,55.96824,12.40306
Circle K,Circle K Frederikssund,"Frederiksværkvej 16, 3600 Frederikssund",3600,Frederikssund,400,CCS,4,55.843672,12.065837
Circle K,Circle K Ølstykke,"Frederikssundsvej 225, 3650 Ølstykke",3650,Ølstykke,400,CCS,6,55.778934,12.173988
Circle K,Circle K Rønne,"Zahrtmannsvej 99, 3700 Rønne",3700,Rønne,400,CCS,6,55.097626,14.712288
Circle K,Circle K Københavnsvej Roskilde,"Københavnsvej 20, 4000 Roskilde",4000,Roskilde,300,CCS,4,55.640588,12.097661
Circle K,Circle K Ringstedv.roskilde,"Ringstedvej 107, 4000 Roskilde",4000,Roskilde,400,CCS,4,55.61932,12.052461
Circle K,Circle K Kirke Såby,"Landevejen 51, 4060 Kirke Såby",4060,Kirke Såby,400,CCS,8,55.639719,11.830779
Circle K,Circle K Benløse,"Roskildevej 160, 4100 Ringsted",4100,Ringsted,300,CCS,4,55.460199,11.799499
Circle K,Circle K Ringsted,"Næstvedvej 19, 4100 Ringsted",4100,Ringsted,300,CCS,4,55.438937,11.792858
Circle K,Circle K Motorvejscenter Sorø,"Vestmotorvejen 368A, 4180 Sorø",4180,Sorø,400,CCS,6,55.4549,11.60882
Circle K,Circle K Trafikcenter Slagelse,"Trafikcenter Allé 6, 4200 Slagelse",4200,Slagelse,400,CCS,14,55.387655,11.362685
Circle K,"Circle K Roskildevej, Holbæk","Roskildevej 195, 4300 Holbæk",4300,Holbæk,300,CCS,4,55.697788,11.72707
Circle K,Circle K Osted,"Hovedvejen 141, 4320 Lejre",4320,Lejre,300,CCS,4,55.559433,11.961373
Circle K,"Circle K Esbern Snaresv.,kal","Esbern Snaresvej 4, 4400 Kalundborg",4400,Kalundborg,300,CCS,4,55.68436,11.090851
Circle K,"Circle K Københavnsvej, Køge","Københavnsvej 110, 4600 Køge",4600,Køge,400,CCS,4,55.480255,12.187191
Circle K,"Circle K Nordhøj, Køge","Nordhøj 4, 4600 Køge",4600,Køge,400,CCS,8,55.488631,12.162419
Circle K,"Circle K Vordingborgvej, Køge","Vordingborgvej 9, 4600 Køge",4600,Køge,300,CCS,4,55.446462,12.173246
Circle K,"Circle K Havnegade, Næstved","Havnegade 60, 4700 Næstved",4700,Næstved,300,CCS,4,55.223333,11.758216
Circle K,"Circle K Bårse Runddel, Præstø","Næstvedvej 32, 4720 Præstø",4720,Præstø,300,CCS,4,55.121274,11.969004
Circle K,Circle K Tappernøje Vest,"Sydmotorvejen 380, 4733 Tappernøje",4733,Tappernøje,300,CCS,12,55.169361,11.957143
Circle K,Circle K Tappernøje Øst,"Sydmotorvejen 383, 4733 Tappernøje",4733,Tappernøje,300,CCS,12,55.166096,11.958105
Circle K,"Circle K Gåbensevej, Nykøbing Falster","Gaabensevej 112, 4800 Nykøbing Falster",4800,Nykøbing Falster,300,CCS,4,54.781637,11.867437
Circle K,"Circle K Hjallesevej, Odense C","Hjallesevej 25, 5000 Odense C",5000,Odense C,400,CCS,6,55.39034,10.39616
Circle K,Circle K Nyborgvej,"Nyborgvej 121, 5000 Odense",5000,Odense,300,CCS,4,55.393316,10.413921
Circle K,Circle K Odense V,"Middelfartvej 53, 5200 Odense",5200,Odense,400,CCS,8,55.394374,10.356754
Circle K,Circle K Fruens Bøge,"Faaborgvej 122, 5250 Odense SV",5250,Odense SV,400,CCS,6,55.367853,10.35714
Circle K,Circle K Hjallese,"Svendborgvej 5, 5260 Odense S",5260,Odense S,400,CCS,4,55.3616,10.39186
Circle K,Circle K Odense SØ,"Drejebænken 15, 5260 Odense S",5260,Odense S,300,CCS,12,55.353897,10.421263
Circle K,Circle K Kerteminde,"Grønlandsgade 1, 5300 Kerteminde",5300,Kerteminde,400,CCS,4,55.451694,10.66146
Circle K,Circle K Tåsinge,"Sundbrovej 1, 5700 Svendborg",5700,Svendborg,300,CCS,4,55.041326,10.611769
Circle K,Circle K Nyborg Mango,"Storebæltsvej 1, 5800 Nyborg",5800,Nyborg,400,CCS,16,55.309563,10.805102
Circle K,"Circle K Buen, Kolding","Buen 13, 6000 Kolding",6000,Kolding,400,CCS,4,55.48776,9.4809
Circle K,"Circle K Haderslevvej, Kolding","Haderslevvej 189, 6000 Kolding",6000,Kolding,400,CCS,4,55.47123,9.47108
Circle K,"Circle K Vejlevej 168, Kolding","Vejlevej 168, 6000 Kolding",6000,Kolding,300,CCS,4,55.507425,9.457324
Circle K,"Circle K Laurids Skausgade, Haderslev","Laurids Skaus Gade 21, 6100 Haderslev",6100,Haderslev,400,CCS,2,55.25373,9.48415
Circle K,Circle K Åbenrå,"Egevej 6, 6200 Aabenraa",6200,Aabenraa,400,CCS,10,55.06554,9.365663
Circle K,Circle K Tønder,"Ndr Landevej 8, 6270 Tønder",6270,Tønder,300,CCS,4,54.947855,8.875593
Circle K,Circle K Frøslev Vest Motorvejscenter,"Sønderjyske Motorvej 764, 6330 Padborg",6330,Padborg,400,CCS,10,54.83124,9.33243
Circle K,Circle K Frøslev Øst Motorvejscenter,"Sønderjyske Motorvej 765, 6330 Padborg",6330,Padborg,400,CCS,10,54.82627,9.32959
Circle K,Circle K Padborg,"Industrivej 20, 6330 Padborg",6330,Padborg,400,CCS,10,54.831946,9.351473
Circle K,Circle K Sønderborg,"Nørrekobbel 1, 6400 Sønderborg",6400,Sønderborg,400,CCS,4,54.922701,9.784969
Circle K,Circle K EV VTS Vojens,"Fabriksvej 4, 6500 Vojens",6500,Vojens,400,CCS,4,55.24078,9.27413
Circle K,Circle K Ustrup Vest Motorvejscenter,"Sønderjyske Motorvej 686, 6500 Vojens",6500,Vojens,400,CCS,6,55.21635,9.37219
Circle K,Circle K Ustrup Øst Motorvejscenter,"Sønderjyske Motorvej 683, 6500 Vojens",6500,Vojens,400,CCS,8,55.21577,9.37507
Circle K,Circle K Vejen,"Frederik d. 7's gade 40, 6600 Vejen",6600,Vejen,400,CCS,6,55.482932,9.148116
Circle K,"Circle K Gammelby Ringvej, Esbjerg","Gammelby Ringvej 13, 6700 Esbjerg",6700,Esbjerg,400,CCS,8,55.46276,8.46858
Circle K,"Circle K Strandby Plads, Esbjerg","Strandbygade 94, 6700 Esbjerg",6700,Esbjerg,400,CCS,4,55.472949,8.435796
Circle K,"Circle K Ribevej, Varde","Ribevej 27B, 6800 Varde",6800,Varde,300,CCS,4,55.61049,8.493376
Circle K,Circle K Skærup Vest Motorvejscenter,"Østjyske Motorvej 616A, 7000 Fredericia",7000,Fredericia,400,CCS,12,55.64292,9.55862
Circle K,"Circle K Snaremosevej, Fredericia","Snaremosevej 180, Erritsø, 7000 Fredericia",7000,Fredericia,400,CCS,6,55.53693,9.71712
Circle K,"Circle K Vejlevej, Fredericia","Vejlevej 26, 7000 Fredericia",7000,Fredericia,300,CCS,4,55.569662,9.72384
Circle K,Circle K Boulevarden,"Boulevarden 28, 7100 Vejle",7100,Vejle,300,CCS,4,55.712701,9.52255
Circle K,Circle K Bøgeparken,"Fredericiavej 151, 7100 Vejle",7100,Vejle,400,CCS,6,55.684987,9.561268
Circle K,"Circle K Horsensvej, Vejle","Horsensvej 121, 7100 Vejle",7100,Vejle,300,CCS,10,55.72255,9.570185
Circle K,"Circle K Lind, Herning","Lind Hovedgade 2A, 7400 Herning",7400,Herning,300,CCS,4,56.108631,8.978486
Circle K,"Circle K Silkeborgvej, Herning","Silkeborgvej 7, 7400 Herning",7400,Herning,400,CCS,6,56.135216,8.985247
Circle K,Circle K Ikast,"Vestergade 34-38, 7430 Ikast",7430,Ikast,400,CCS,4,56.139469,9.149935
Circle K,Circle K Lægårdvej,"Lægårdvej 91B, 7500 Holstebro",7500,Holstebro,300,CCS,4,56.366266,8.637604
Circle K,"Circle K Nørrebrog, Holstebro","Nørrebrogade 12, 7500 Holstebro",7500,Holstebro,400,CCS,4,56.36398,8.61204
Circle K,Circle K Struer,"Holstebrovej 56, 7600 Struer",7600,Struer,400,CCS,4,56.488911,8.583479
Circle K,"Circle K Østerbakken, Thisted","Østerbakken 63, 7700 Thisted",7700,Thisted,400,CCS,4,56.957274,8.705961
Circle K,"Circle K Nykøbing, M","Vesterbro 1, 7900 Nykøbing Mors",7900,Nykøbing Mors,300,CCS,4,56.793079,8.853531
Circle K,"Circle K Skanderborgvej, Århus","Skanderborgvej 39, 8000 Aarhus C",8000,Aarhus C,400,CCS,6,56.139901,10.182789
Circle K,Circle K N.ringgade Aarhus,"Skovvangsvej 211, 8200 Aarhus N",8200,Aarhus N,400,CCS,4,56.17492,10.2161
Circle K,"Circle K Randersvej, Århus","Randersvej 141, 8200 Aarhus N",8200,Aarhus N,300,CCS,2,56.184316,10.195461
Circle K,Circle K Århus V,"Rytoften 1, 8210 Aarhus V",8210,Aarhus V,400,CCS,8,56.166115,10.150077
Circle K,Circle K Risskov,"Grenåvej 150, 8240 Risskov",8240,Risskov,300,CCS,4,56.189292,10.21908
Circle K,Circle K Slet,"Christian X's Vej 253, 8310 Tranbjerg J",8310,Tranbjerg J,400,CCS,8,56.104087,10.145629
Circle K,Circle K Tilst,"Tilst Parkvej 3, Mundelstrup, 8381 Tilst",8381,Tilst,400,CCS,6,56.188003,10.090397
Circle K,"Circle K Framlev, Harlev","Framlev Korsvej 10, Framlev, 8462 Harlev J",8462,Harlev J,400,CCS,4,56.151627,10.006268
Circle K,Circle K Grenå,"Østerbrogade 10, 8500 Grenaa",8500,Grenaa,400,CCS,4,56.41368,10.88537
Circle K,"Circle K Bregnevej, Silkeborg","Bregnevej 1, 8600 Silkeborg",8600,Silkeborg,400,CCS,8,56.186186,9.558179
Circle K,Circle K Knudstrup,"Aalborgvej 29, Knudstrup, 8620 Kjellerup",8620,Kjellerup,400,CCS,4,56.265796,9.313689
Circle K,Circle K EV Ejer Baunehøj Øst,"Østjyske Motorvej 543, 8660 Skanderborg",8660,Skanderborg,400,CCS,8,55.97806,9.87016
Circle K,Circle K Ev Ejer Baunehøj Vest,"Østjyske Motorvej 536, 8660 Skanderborg",8660,Skanderborg,400,CCS,8,55.97888,9.86521
Circle K,Circle K Skanderborg,"Højvangen 2, 8660 Skanderborg",8660,Skanderborg,400,CCS,6,56.04813,9.94618
Circle K,Circle K Ørstedsvej. Skanderborg (personbil),"Ørstedsvej 6, 8660 Skanderborg",8660,Skanderborg,400,CCS,8,56.068243,9.978059
Circle K,"Circle K Allegade, Horsens","Allegade 65, 8700 Horsens",8700,Horsens,400,CCS,8,55.867302,9.844388
Circle K,"Circle K Bjerrevej, Horsens","Bjerrevej 99, Dagnæs, 8700 Horsens",8700,Horsens,400,CCS,4,55.843309,9.847492
Circle K,Circle K Recharge City,"Kai Lindbergs Vej 2A, 8700 Horsens",8700,Horsens,300,CCS,12,55.846015,9.734031
Circle K,"Circle K Indre Ringvej, Viborg","Indre Ringvej 2, 8800 Viborg",8800,Viborg,300,CCS,4,56.450115,9.391854
Circle K,"Circle K Viborgvej, Randers","Viborgvej 94, 8920 Randers NV",8920,Randers NV,400,CCS,10,56.465253,10.004286
Circle K,Circle K Truck Sdr Borup,"Engelsholmvej 39, Sdr Borup, 8940 Randers SV",8940,Randers SV,400,CCS,2,56.4147,10.07249
Circle K,"Circle K Århusvej, Randers","Århusvej 98, 8940 Randers SV",8940,Randers SV,300,CCS,6,56.439265,10.049897
Circle K,Circle K Hasseris,"Hasseris Bymidte 2, 9000 Aalborg",9000,Aalborg,400,CCS,6,57.03673,9.88407
Circle K,"Circle K Sønderbro, Aalborg","Sønderbro 24, 9000 Aalborg",9000,Aalborg,400,CCS,6,57.039359,9.931357
Circle K,Circle K Aalborg Ø,"Hadsundvej 212, 9220 Aalborg Ø",9220,Aalborg Ø,400,CCS,6,57.020393,9.967221
Circle K,Circle K Nørresundby,"Løvbakken 2, 9400 Nørresundby",9400,Nørresundby,400,CCS,8,57.07098,9.926553
Circle K,Circle K Hobro,"Aalborgvej 2, 9500 Hobro",9500,Hobro,400,CCS,4,56.64967,9.794282
Circle K,Circle K Motorvejscenter Himmerland,"Himmerland Vest, 9541 Suldrup",9541,Suldrup,400,CCS,12,56.8428,9.74114
Circle K,Circle K Nørager,"Industriparken 2, 9610 Nørager",9610,Nørager,400,CCS,12,56.783046,9.694854
Circle K,"Circle K Ringvejen, Hjørring","Heerfordtsvej 2, 9800 Hjørring",9800,Hjørring,400,CCS,4,57.44959,10.0104
Circle K,Circle K Hirtshals,"Vestergade 1, 9850 Hirtshals",9850,Hirtshals,300,CCS,2,57.587969,9.958497
Circle K,"Circle K Danmarksgade, Frederikshavn","Danmarksgade 15, 9900 Frederikshavn",9900,Frederikshavn,300,CCS,4,57.444144,10.539301
Clever,"Lynladeplads Jeudan parkeringshus, Dr. Tværgade","Dronningens Tværgade 4, 1302 København K",1302,København K,300,CCS,3,55.68338,12.588445
Clever,"Carlsberg Byen, Humletorvet","Bohrsgade 2, 1799 København V",1799,København V,300,CCS,6,55.664013,12.535158
Clever,Lynladestation Frederiksberg Rådhus,"Frederiksberg Bredegade 14, 2000 Frederiksberg",2000,Frederiksberg,300,CCS,4,55.678422,12.529694
Clever,Føtex Nordre Fasanvej - Frederiksberg,"Nordre Fasanvej 25, 2000 Frederiksberg",2000,Frederiksberg,300,CCS,4,55.68187,12.522072
Clever,Søndre Fasanvej 85B - Frederiksberg,"Søndre Fasanvej 85B, 2000 Frederiksberg",2000,Frederiksberg,300,CCS,4,55.669037,12.518164
Clever,Føtex - Østerbro Centret,"Hammershusgade 9, 2100 København Ø",2100,København Ø,300,CCS,6,55.707192,12.561326
Clever,Lynladestation Hans Knudsens Plads,"Hans Knudsens Plads 6, 2100 København Ø",2100,København Ø,300,CCS,10,55.712953,12.560574
Clever,Føtex - Nørrebro,"Mimersgade 120, 2200 København N",2200,København N,300,CCS,6,55.702158,12.539428
Clever,Nørrebro Bycenter,"Lygten 2M, 2400 København NV",2400,København NV,300,CCS,8,55.704567,12.538503
Clever,Føtex - Valby,"Torveporten 4, 2500 Valby",2500,Valby,300,CCS,2,55.65383,12.509409
Clever,Spinderiet Ved Ovnhallen - P-taget,"Ved Ovnhallen 9, 2500 Valby",2500,Valby,300,CCS,4,55.664166,12.51044
Clever,Autohuset Glostrup,"Hovedvejen 193, 2600 Glostrup",2600,Glostrup,300,CCS,2,55.663408,12.375354
Clever,Glostrup Shoppingcenter,"Hovedvejen 81, 2600 Glostrup",2600,Glostrup,300,CCS,4,55.665099,12.400482
Clever,Semler - Brøndby,"Park Allé 356, 2605 Brøndby",2605,Brøndby,300,CCS,2,55.651351,12.380948
Clever,Rødovre Centrum 1D,"Rødovre Centrum 1D, 2610 Rødovre",2610,Rødovre,300,CCS,4,55.6781,12.457807
Clever,City 2,"Cityringen 4, 2630 Taastrup",2630,Taastrup,300,CCS,12,55.642806,12.275199
Clever,Lynladestation Taastrup,"Helgeshøj Alle 17A, 2630 Taastrup",2630,Taastrup,350,CCS,12,55.660205,12.280679
Clever,Føtex - Hvidovre,"Hvidovrevej 75, 2650 Hvidovre",2650,Hvidovre,300,CCS,4,55.661315,12.4744
Clever,Hvidovre C,"Laurits Olsens Vej 1, 2650 Hvidovre",2650,Hvidovre,300,CCS,8,55.663075,12.476081
Clever,Føtex - Greve,"Greve Midtby Center 16, 2670 Greve",2670,Greve,300,CCS,2,55.582747,12.295032
Clever,"Waves Shoppingcenter, Greve","Over Bølgen 2A, 2670 Greve",2670,Greve,300,CCS,18,55.597743,12.32693
Clever,Føtex - Husum,"Frederikssundsvej 284, 2700 Brønshøj",2700,Brønshøj,300,CCS,6,55.711175,12.478455
Clever,Lynladestation Brønshøj,"Solrødvej 1, 2700 Brønshøj",2700,Brønshøj,350,CCS,8,55.698086,12.477611
Clever,BIG Shopping,"Herlev Hovedgade 17, 2730 Herlev",2730,Herlev,300,CCS,20,55.718992,12.450764
Clever,Ballerup Centret,"Banetoften 7, 2750 Ballerup",2750,Ballerup,300,CCS,4,55.729225,12.357274
Clever,Lynladestation Ballerup,"Jonstrupvej 70, 2750 Ballerup",2750,Ballerup,300,CCS,8,55.736738,12.356354
Clever,Føtex Food - Dragør,"Maglebytorv 2, 2791 Dragør",2791,Dragør,300,CCS,4,55.595629,12.659088
Clever,DTU Asmussens Allé,"Koppels Allé 403, 2800 Kongens Lyngby",2800,Kongens Lyngby,300,CCS,2,55.782159,12.519449
Clever,Føtex - Virum,"Skovridergårdsvej 60A, 2830 Virum",2830,Virum,300,CCS,2,55.79659,12.473732
Clever,Autohuset Vestergaard - Nærum,"Nærum Hovedgade 1, 2850 Nærum",2850,Nærum,300,CCS,2,55.81758,12.530079
Clever,Waterfront Shoppingcenter,"Philip Heymans Alle 17, 2900 Hellerup",2900,Hellerup,300,CCS,16,55.725828,12.577918
Clever,Netto - Snekkersten,"Nørrebakken 5, 3070 Snekkersten",3070,Snekkersten,300,CCS,2,56.010702,12.584684
Clever,Netto Akelejevej - Gilleleje,"Smidstrup Strandvej 49, 3250 Gilleleje",3250,Gilleleje,300,CCS,2,56.116877,12.240462
Clever,Lynladestation Hillerød,"Herredsvejen 12A, 3400 Hillerød",3400,Hillerød,300,CCS,10,55.93562,12.262912
Clever,Autohuset Vestergaard - Hillerød,"Rønnekrogen 1, 3400 Hillerød",3400,Hillerød,300,CCS,2,55.92723,12.261258
Clever,Føtex - Hillerød,"Slangerupgade 56B, 3400 Hillerød",3400,Hillerød,300,CCS,8,55.929234,12.291381
Clever,Slotsarkadernes P-hus Syd,"Slotsarkaderne 225, 3400 Hillerød",3400,Hillerød,300,CCS,6,55.928069,12.297295
Clever,Føtex - Frederikssund,"Kalvøvej 2A, 3600 Frederikssund",3600,Frederikssund,300,CCS,4,55.836113,12.059124
Clever,Føtex - Egedal,"Dronning Dagmars Vej 201, 3650 Ølstykke",3650,Ølstykke,300,CCS,4,55.780899,12.186537
Clever,RO's Torv - parkering,"Københavnsvej 33, 4000 Roskilde",4000,Roskilde,300,CCS,6,55.642499,12.100992
Clever,Føtex Stationscenter - Roskilde,"Stationscentret 13, 4000 Roskilde",4000,Roskilde,300,CCS,4,55.637265,12.082179
Clever,Roskilde Havn,"Vindeboder 3, 4000 Roskilde",4000,Roskilde,300,CCS,2,55.648601,12.079245
Clever,Autohuset Ringsted,"Bragesvej 1, 4100 Ringsted",4100,Ringsted,300,CCS,2,55.42946,11.790311
Clever,Lynladestation RingStedet,"Klosterparks Alle 10, 4100 Ringsted",4100,Ringsted,300,CCS,20,55.454338,11.788678
Clever,Lynladeplads Bilka - Slagelse,"Idagårdsvej 1, 4200 Slagelse",4200,Slagelse,300,CCS,12,55.391228,11.354578
Clever,Netto Valnøddevænget - Slagelse,"Valnøddevænget 2, 4200 Slagelse",4200,Slagelse,300,CCS,4,55.415574,11.399863
Clever,Vestsjællandscentret,"Vestsjællandscentret 10A, 4200 Slagelse",4200,Slagelse,300,CCS,6,55.407438,11.356084
Clever,Føtex - Korsør,"Havnearkaderne 17, 4220 Korsør",4220,Korsør,300,CCS,2,55.330264,11.139881
Clever,Føtex - Holbæk,"Borgm N E Hansensvej 3, 4300 Holbæk",4300,Holbæk,300,CCS,2,55.714602,11.717588
Clever,Lynladestation Holbæk,"Rørvangsvej 55, 4300 Holbæk",4300,Holbæk,400,CCS,12,55.686723,11.700868
Clever,Føtex - Kalundborg,"Bredgade 42, 4400 Kalundborg",4400,Kalundborg,300,CCS,4,55.678887,11.091289
Clever,Rema 1000 - Lumsås,"Oddenvej 103A, 4500 Nykøbing Sj",4500,Nykøbing Sj,300,CCS,6,55.942823,11.509891
Clever,Lynladestation Køge,"Servicevej 1, 4600 Køge",4600,Køge,300,CCS,16,55.489341,12.161393
Clever,"Peugeot Køge, Tangmosevej","Tangmosevej 95, 4600 Køge",4600,Køge,300,CCS,2,55.471743,12.185789
Clever,Lynladeplads Davidsen - Køge,"Værftsvej 51, 4600 Køge",4600,Køge,300,CCS,6,55.479583,12.185748
Clever,Kirketorvet 3,"Kirketorvet 3, 4640 Faxe",4640,Faxe,300,CCS,2,55.25589,12.120458
Clever,Lynladestation Rønnede,"Trafikcenter Rønnede 1, 4683 Rønnede",4683,Rønnede,300,CCS,18,55.257254,11.996133
Clever,Lynladestation Næstved Storcenter,"Næstved Storcenter 1, 4700 Næstved",4700,Næstved,300,CCS,8,55.252688,11.785402
Clever,Vestergårdsvej 94,"Vestergårdsvej 94, 4700 Næstved",4700,Næstved,300,CCS,4,55.256007,11.80464
Clever,Netto Åderupvej - Næstved,"Åderupvej 5, 4700 Næstved",4700,Næstved,300,CCS,6,55.218205,11.752763
Clever,"Rådhustorvet, Vordingborg","Rådhustorvet 4C, 4760 Vordingborg",4760,Vordingborg,300,CCS,2,55.01224,11.90876
Clever,Føtex - Nykøbing Falster,"Guldborgsundcentret 23, 4800 Nykøbing F",4800,Nykøbing F,300,CCS,4,54.758493,11.855019
