Operatør,Navn,Adresse,Postnr,By,Effekt_kW,Stik,Antal_ladere,Latitude,Longitude
Shell Recharge,SHELL AALBORG KAROLINELUNDSVEJ,"KAROLINELUNDSVEJ 45-47, 9000 Aalborg",9000,Aalborg,300,CCS,2,57.042866,9.934473
Shell Recharge,SHELL RECHARGE AALBORG ØST,"Universitetsboulevarden 10, 9220 Aalborg Øst",9220,Aalborg Øst,300,CCS,2,57.019923,9.958868
Spirii,Nerve Smart Systems - Roskilde,"Langebjergvænget 19C, 4000 Roskilde",4000,Roskilde,300,CCS,6,55.647541,12.14181
Spirii,DB Kirke Hyllinge Public,"Vintapperbuen 10, 4070 Kirke Hyllinge",4070,Kirke Hyllinge,300,CCS,4,55.700073,11.889613
Spirii,IBF Charge,"Erhvervsvej 6, 5592 Ejby",5592,Ejby,400,CCS,2,55.447506,9.946832
Spirii,Spodsbjergvej 234,"Spodsbjergvej 234, 5900 Rudkøbing",5900,Rudkøbing,300,CCS,2,54.932789,10.831027
Spirii,Ristingevej 104,"Ristingevej 104, 5932 Humble",5932,Humble,300,CCS,2,54.820133,10.640477
Spirii,SuperCharger Silkeborg,"Bavnehøjvej 2, 8600 Silkeborg",8600,Silkeborg,400,CCS,8,56.185635,9.579148
Spirii,FDM Jyllandsringen (DC),"Skellerupsvej 38, 8600 Silkeborg",8600,Silkeborg,280,CCS,2,56.177814,9.660602
Spirii,StandEL ApS,"Vestre Alle 2, 9000 Aalborg",9000,Aalborg,300,CCS,2,57.034,9.907894
Spirii,Skaarup Malerfirma,"Følfodvej 28, 9310 Vodskov",9310,Vodskov,300,CCS,2,57.100391,10.024075
Stella,Stella Landgreven,"Landgreven 10, 1301 København K",1301,København K,300,CCS,2,55.683238,12.585147
Stella,Stella Bernstorffsgade,"Bernstorffsgade 35, 1577 København V",1577,København V,300,CCS,14,55.668772,12.571735
Stella,Stella Østbanegade,"Østbanegade 91, 2100 København Ø",2100,København Ø,300,CCS,2,55.692926,12.586561
Stella,Stella Ballerup,"Lautrupvang 2, 2750 Ballerup",2750,Ballerup,300,CCS,4,55.731384,12.389364
Stella,Stella Tobaksvejen,"Tobaksvejen 4, 2860 Søborg",2860,Søborg,300,CCS,8,55.741109,12.484902
Stella,Stella Strandvejen,"Strandvejen 235, 2920 Charlottenlund",2920,Charlottenlund,300,CCS,6,55.749278,12.586796
Stella,Stella Torvestrædet,"Torvestrædet 25, 3450 Allerød",3450,Allerød,300,CCS,6,55.86963,12.356269
Stella,Stella Aarhus,"Katrinebjergvej 58, 8200 Aarhus N",8200,Aarhus N,300,CCS,4,56.172876,10.196563
Tesla,Tesla Supercharger Frederiksberg - Copenhagen,"Solbjerg Plads 1, 2000 Frederiksberg",2000,Frederiksberg,250,CCS+Tesla,20,55.681773,12.5313
Tesla,Tesla Supercharger Taastrup,"Cityringen 4, 2630 Taastrup",2630,Taastrup,250,CCS+Tesla,28,55.642954,12.274819
Tesla,Tesla Supercharger Rødovre,"Rødovre Centrum 254, 2800 Rødovre",2800,Rødovre,250,CCS+Tesla,24,55.679323,12.45723
Tesla,Tesla Supercharger Lyngby,"Lyngby Storcenter 1, 2800 Kongens Lyngby",2800,Kongens Lyngby,250,CCS+Tesla,28,55.771271,12.504473
Tesla,Tesla Supercharger Hillerød - Sigrunsvej,"Sigrunsvej 30, 3400 Hillerød",3400,Hillerød,250,CCS+Tesla,16,55.932634,12.260047
Tesla,Tesla Supercharger Kirke Såby,"Landevejen 51, 4060 Kirke Såby",4060,Kirke Såby,250,CCS+Tesla,16,55.64016,11.830575
Tesla,Tesla Supercharger Slagelse,"Trafikcenter Alle 4, 4200 Slagelse",4200,Slagelse,250,CCS+Tesla,28,55.387922,11.361762
Tesla,Tesla Supercharger Korsør,"Servicevej 1, 4220 Korsør",4220,Korsør,250,CCS+Tesla,12,55.352367,11.141382
Tesla,Tesla Supercharger Næstved,"Vestergårdsvej 94, 4700 Næstved",4700,Næstved,250,CCS+Tesla,20,55.255867,11.806241
Tesla,Tesla Supercharger Maribo,"Europavej 9, 4930 Maribo",4930,Maribo,250,CCS+Tesla,24,54.779256,11.476873
Tesla,Tesla Supercharger Odense,"Ørbækvej 75, 5220 Odense",5220,Odense,250,CCS+Tesla,28,55.386418,10.426815
Tesla,Tesla Supercharger Nyborg,"Storebæltsvej 7K, 5800 Nyborg",5800,Nyborg,250,CCS+Tesla,28,55.308844,10.809693
Tesla,Tesla Supercharger Kolding,"Skovvangen 42, 6000 Kolding",6000,Kolding,250,CCS+Tesla,40,55.512596,9.462833
Tesla,Tesla Supercharger Kliplev,"Kliplev Industripark, 6200 Aabenraa",6200,Aabenraa,250,CCS+Tesla,48,54.940091,9.378875
Tesla,Tesla Supercharger Esbjerg,"Havnegade 62, 6700 Esbjerg",6700,Esbjerg,250,CCS+Tesla,12,55.465738,8.443943
Tesla,Tesla Supercharger Søndervig,"Vestkystvej 2, 6950 Søndervig",6950,Søndervig,250,CCS+Tesla,12,56.120519,8.122202
Tesla,Tesla Supercharger Fredericia,"Strevelinsvej 13, 7000 Fredericia",7000,Fredericia,250,CCS+Tesla,24,55.534407,9.717122
Tesla,Tesla Supercharger Vejle South,"Godthåbsvej 55, 7100 Vejle",7100,Vejle,250,CCS+Tesla,24,55.664322,9.550961
Tesla,Tesla Supercharger Billund,"Ellehammers Alle 3, 7190 Billund",7190,Billund,250,CCS+Tesla,16,55.732478,9.134625
Tesla,Tesla Supercharger Herning,"Merkurvej 1, 7400 Herning",7400,Herning,250,CCS+Tesla,20,56.136146,8.99884
Tesla,Tesla Supercharger Ikast,"Uhregårds Alle 6, 7430 Ikast",7430,Ikast,250,CCS+Tesla,16,56.12226,9.172513
Tesla,Tesla Supercharger Struer,"Gimsinglundvej 2, 7600 Struer",7600,Struer,250,CCS+Tesla,12,56.480126,8.58672
Tesla,Tesla Supercharger Nykøbing Mors,"Vesterfald 6, 7900 Nykøbing Mors",7900,Nykøbing Mors,250,CCS+Tesla,8,56.787018,8.830315
Tesla,Tesla Supercharger Viby J,"Hasselager Centervej 30, 8260 Aarhus",8260,Aarhus,250,CCS+Tesla,20,56.116664,10.120814
Tesla,Tesla Supercharger Rønde,"Randersvej 5, 8410 Rønde",8410,Rønde,250,CCS+Tesla,12,56.316067,10.424727
Tesla,Tesla Supercharger Viborg,"Randersvej 60, 8800 Viborg",8800,Viborg,250,CCS+Tesla,12,56.452876,9.449368
