Mærke,Navn,Adresse,Postnr,By,Latitude,Longitude
OK,OK Vejle,"Skanderborgvej 1, 7100 Vejle",7100,Vejle,55.804533,9.564719
OK,OK Vejle,"Ribevej 1A, 7100 Vejle",7100,Vejle,55.663448,9.408227
OK,OK Vejle,"Agersbølvej 5, 7100 Vejle",7100,Vejle,55.792778,9.58082
OK,OK Vejle,"Ribevej 31, 7100 Vejle",7100,Vejle,55.660979,9.404139
OK,OK Vejle,"Højen Kirkevej 1, 7100 Vejle",7100,Vejle,55.656117,9.505162
OK,OK Vejle,"Enghavevej 15Z, 7100 Vejle",7100,Vejle,55.706069,9.52951
OK,OK Vejle,"Vindinggård Center 1z, 7100 Vejle",7100,Vejle,55.687499,9.553567
OK,OK Vejle Øst,"Bredballe Byvej 7Z, 7120 Vejle Øst",7120,Vejle Øst,55.719279,9.608149
OK,OK Vejle Øst,"Horsensvej 329, 7120 Vejle Øst",7120,Vejle Øst,55.732108,9.603244
OK,OK Juelsminde,"Fruens Toft 11, 7130 Juelsminde",7130,Juelsminde,55.806089,9.997271
OK,OK Juelsminde,"Rousthøjs Alle 53, 7130 Juelsminde",7130,Juelsminde,55.709407,10.010343
OK,OK Tørring,"Torvegade 6, 7160 Tørring",7160,Tørring,55.849705,9.483317
OK,OK Uldum,"Lars Larsens Vej 2, 7171 Uldum",7171,Uldum,55.841905,9.590722
OK,OK Bredsten,"Billundvej 35, 7182 Bredsten",7182,Bredsten,55.704044,9.305857
OK,OK Bredsten,"Steen Blicher Vej 25, 7182 Bredsten",7182,Bredsten,55.705173,9.379038
OK,OK Vandel,"Hans Thomsens Vej 101, 7184 Vandel",7184,Vandel,55.713086,9.218624
OK,OK Billund,"Passagerterminalen 2, 7190 Billund",7190,Billund,55.747599,9.1393
OK,OK Grindsted,"Gl Grindstedvej 1, 7200 Grindsted",7200,Grindsted,55.652743,8.815618
OK,OK Grindsted,"Vestre Boulevard 11, 7200 Grindsted",7200,Grindsted,55.757831,8.920903
OK,OK Grindsted,"Vejle Landevej 25, 7200 Grindsted",7200,Grindsted,55.754123,8.965196
OK,OK Hejnsvig,"Klodhøjvej 2, 7250 Hejnsvig",7250,Hejnsvig,55.69463,8.998037
OK,OK Sønder Omme,"Vejlevej 5, 7260 Sønder Omme",7260,Sønder Omme,55.838705,8.897167
OK,OK Jelling,"Vejlevej 59, 7300 Jelling",7300,Jelling,55.757436,9.430594
OK,OK Give,"Borgergade 26A, 7323 Give",7323,Give,55.909995,9.25762
OK,OK Give,"Fredensgade 1, 7323 Give",7323,Give,55.844588,9.232164
OK,OK Brande,"Sjællandsvej 2D, 7330 Brande",7330,Brande,55.927578,9.158454
OK,OK Brande,"Storegade 60, 7330 Brande",7330,Brande,55.941094,9.128894
OK,OK Brande,"Brandlundvej 27, 7330 Brande",7330,Brande,55.942622,9.115225
OK,OK Brande,"Sdr Ommevej 71, 7330 Brande",7330,Brande,55.875551,9.028355
OK,OK Herning,"Viborgvej 3, 7400 Herning",7400,Herning,56.143049,8.983093
OK,OK Herning,"Holstebrovej 29, 7400 Herning",7400,Herning,56.138123,8.946504
OK,OK Herning,"Merkurvej 1, 7400 Herning",7400,Herning,56.13607,9.003599
OK,OK Herning,"Greenvej 1, 7400 Herning",7400,Herning,56.014222,8.99334
OK,OK Herning,"Gl. Landevej 100, 7400 Herning",7400,Herning,56.141139,8.968409
OK,OK Herning,"Gudhjemvej 1, 7400 Herning",7400,Herning,56.153178,8.985625
OK,OK Ikast,"Jyllandsgade 30, 7430 Ikast",7430,Ikast,56.1224,9.17314
OK,OK Bording,"Søndergade 51, 7441 Bording",7441,Bording,56.141075,9.274249
OK,OK Sunds,"Fredbovej 22, 7451 Sunds",7451,Sunds,56.204752,9.014652
OK,OK Sunds,"Ilskovvej 4, 7451 Sunds",7451,Sunds,56.200512,9.019898
OK,OK Karup J,"Søndergade 3, 7470 Karup J",7470,Karup J,56.339939,9.253528
OK,OK Karup J,"Bredgade 24, 7470 Karup J",7470,Karup J,56.308782,9.16629
OK,OK Vildbjerg,"Bredgade 35, 7480 Vildbjerg",7480,Vildbjerg,56.201305,8.767972
OK,OK Aulum,"Skolegade 7, 7490 Aulum",7490,Aulum,56.264126,8.796955
OK,OK Holstebro,"Viborgvej 111, 7500 Holstebro",7500,Holstebro,56.364746,8.689895
OK,OK Holstebro,"Brogårdsvej 3, 7500 Holstebro",7500,Holstebro,56.355476,8.619388
OK,OK Holstebro,"Vesterbrogade 92, 7500 Holstebro",7500,Holstebro,56.352985,8.605963
OK,OK Holstebro,"Viborgvej 256, 7500 Holstebro",7500,Holstebro,56.390736,8.809187
OK,OK Vemb,"Nørregade 23, 7570 Vemb",7570,Vemb,56.344018,8.342284
OK,OK Struer,"Bredgade 70, 7600 Struer",7600,Struer,56.480413,8.584728
OK,OK Struer,"Vilhelmsborgvej 45, 7600 Struer",7600,Struer,56.415897,8.485108
OK,OK Lemvig,"Heldumvej 63B, 7620 Lemvig",7620,Lemvig,56.546138,8.283885
OK,OK Lemvig,"Fabjergvej 29, 7620 Lemvig",7620,Lemvig,56.548306,8.334586
OK,OK Thisted,"Østerild Byvej 105, 7700 Thisted",7700,Thisted,57.03152,8.856132
OK,OK Thisted,"Ballerumvej 113, 7700 Thisted",7700,Thisted,57.011334,8.72748
OK,OK Thisted,"Vorupørvej 178, 7700 Thisted",7700,Thisted,56.92778,8.504523
OK,OK Thisted,"Frederiks Torv 1, 7700 Thisted",7700,Thisted,56.953948,8.688026
OK,OK Thisted,"Simons Bakke 110A, 7700 Thisted",7700,Thisted,56.946188,8.658927
OK,OK Thisted,"Skyumvej 1A, 7700 Thisted",7700,Thisted,56.882742,8.626546
OK,OK Thisted,"Østerbakken 97, 7700 Thisted",7700,Thisted,56.96771,8.731902
